id,name,tag_code,describe
1,#cafe,Coffee,"Go to a café to relax, chat, or enjoy drinks."
2,#food,Food,"Go out to eat — restaurants, street food, casual dining."
3,#movie,Movie,Watch a movie at the cinema.
4,#shopping,Shopping,Enjoy going shopping as a leisure activity.
5,#entertainment,Entertainment,"Activities like karaoke, bowling, arcade games, etc."
6,#study,Studying,Studying or working at a place.
7,#photo,Photos,Taking pictures.
5,#drinks,Drinks,Enjoy drinking 
6,#dating,Dating,A date activity — cozy spots for couples.
7,#takeaway,Takeaway,Sharing quick and convenient food to-go
8,#snacks,Snacks,Small bites for anytime hunger.
9,#walking,Walking,Casual walk outside.
10,#workshop,Workshop,A place hosting creative workshops.
11,#karaoke,Karaoke,A place for singing and group fun.
12,#streetfood,Streetfood,Local food from small stalls.
13,#visit,Visit,Discover places through activities.
14,#bar,Bar,Cheers to good moments.
